id,lat,lng,neighborhood,zip,property_type,parcel_size,zoning,crime_trend,permit_activity,income,population_growth,crime_history,permit_history,population_history,transit_distance,crime_count_nearby,violent_crime_count_nearby,permit_count_nearby,nearest_station,transit_stop_count_nearby,features_crimeTrend,features_permitGrowth,features_transitScore,features_incomeScore,features_populationGrowth,scores_investmentScore,scores_growthScore,scores_riskScore,scores_finalScore,forecast_scores_1y,forecast_scores_3y,forecast_scores_5y,forecast_crime_forecast,forecast_permit_forecast,forecast_population_forecast,current_population,population_growth_1y,population_growth_3y,median_age,pct_age_18_24,pct_age_25_34,pct_age_35_54,pct_age_55_plus,zip_median_household_income,community_median_household_income,community_per_capita_income,household_income_growth_1y,renter_pct,owner_pct,unemployment_rate,hardship_index,poverty_rate,full_address,assessed_value,land_assessed_value,building_assessed_value,assessed_value_year,last_sale_price,last_sale_date,ownership_duration_years,sale_count_known,average_school_rating_nearby,elementary_school_rating_avg,high_school_rating_avg,school_count_nearby,coffee_shop_count_nearby,restaurant_count_nearby,grocery_count_nearby,park_count_nearby,hospital_count_nearby,amenity_density_score,school_poi_count_nearby,hospital_poi_count_nearby,university_poi_count_nearby,office_poi_count_nearby,park_poi_count_nearby,poi_density_score
37756,41.75654782391807,-87.64386327857898,ENGLEWOOD,60620,opportunity_site,0,B1-2,0.0909,2.6667,46472,-0.0148,"[{""year"": 2022, ""crime_count"": 36, ""violent_crime_count"": 12}, {""year"": 2023, ""crime_count"": 41, ""violent_crime_count"": 11}, {""year"": 2024, ""crime_count"": 42, ""violent_crime_count"": 17}, {""year"": 2025, ""crime_count"": 44, ""violent_crime_count"": 16}]","[{""year"": 2022, ""permit_count"": 16}, {""year"": 2023, ""permit_count"": 18}, {""year"": 2024, ""permit_count"": 17}, {""year"": 2025, ""permit_count"": 18}]","[{""year"": 2021, ""population"": 69357}, {""year"": 2022, ""population"": 68330}]",0.0327,12,6,11,Halsted & 76th Street,23,0.047619047619047616,0.058823529411764705,0.9683354313934347,0.13726666666666668,-0.014807445535418198,72,65,74,72,"{'investmentScore': 72, 'growthScore': 65, 'riskScore': 75, 'finalScore': 72}","{'investmentScore': 70, 'growthScore': 60, 'riskScore': 83, 'finalScore': 67}","{'investmentScore': 69, 'growthScore': 60, 'riskScore': 91, 'finalScore': 64}","{'1y': 47.0, '3y': 52.0, '5y': 57.0}","{'1y': 18.5, '3y': 19.5, '5y': 20.5}","{'1y': 67303.0, '3y': 65249.0, '5y': 63195.0}",68330,-0.0148,-0.0414,30.8,0.143,0.161,0.195,0.159,46472,41798,12431,0.0047,0.631,0.369,0.197,91,0.396,"586 W 69th St, CHICAGO, IL, 60620",124228,43448,80780,2026,185228,2005-08-01T00:00:00.000,21.67,2,2.0,1.8,1.3,6,0,3,1,1,1,0.07,2,0,0,1,1,0.25
8947,41.891993539915006,-87.72262337281994,HUMBOLDT PARK,60624,opportunity_site,0,RS-3,-0.1765,1.5,31768,-0.0357,"[{""year"": 2022, ""crime_count"": 24, ""violent_crime_count"": 11}, {""year"": 2023, ""crime_count"": 35, ""violent_crime_count"": 20}, {""year"": 2024, ""crime_count"": 41, ""violent_crime_count"": 10}, {""year"": 2025, ""crime_count"": 47, ""violent_crime_count"": 10}]","[{""year"": 2022, ""permit_count"": 15}, {""year"": 2023, ""permit_count"": 22}, {""year"": 2024, ""permit_count"": 14}, {""year"": 2025, ""permit_count"": 18}]","[{""year"": 2021, ""population"": 36986}, {""year"": 2022, ""population"": 35664}]",0.1764,14,7,10,Pulaski & Erie,13,0.14634146341463414,0.2857142857142857,0.8500510030601836,0.014733333333333333,-0.035743254204293515,67,64,81,68,"{'investmentScore': 66, 'growthScore': 60, 'riskScore': 83, 'finalScore': 66}","{'investmentScore': 64, 'growthScore': 60, 'riskScore': 95, 'finalScore': 61}","{'investmentScore': 64, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'1y': 55.5, '3y': 70.5, '5y': 85.5}","{'1y': 17.5, '3y': 17.69999999999999, '5y': 17.899999999999977}","{'1y': 34342.0, '3y': 31698.0, '5y': 29054.0}",35664,-0.0357,-0.1,29.4,0.123,0.22,0.223,0.16,31768,30681,16666,-0.0296,0.599,0.401,0.128,65,0.273,"603 N California Ave, CHICAGO, IL, 60624",69889,24461,45428,2026,82828,2021-09-01T00:00:00.000,5.75,1,2.5,3.2,2.1,10,2,10,2,4,0,0.23,1,0,0,0,4,0.31
35050,41.893299947536285,-87.72322440479832,HUMBOLDT PARK,60624,opportunity_site,0,RS-3,-0.0625,2.6667,31768,-0.0357,"[{""year"": 2022, ""crime_count"": 26, ""violent_crime_count"": 12}, {""year"": 2023, ""crime_count"": 37, ""violent_crime_count"": 23}, {""year"": 2024, ""crime_count"": 38, ""violent_crime_count"": 10}, {""year"": 2025, ""crime_count"": 44, ""violent_crime_count"": 9}]","[{""year"": 2022, ""permit_count"": 17}, {""year"": 2023, ""permit_count"": 24}, {""year"": 2024, ""permit_count"": 16}, {""year"": 2025, ""permit_count"": 22}]","[{""year"": 2021, ""population"": 36986}, {""year"": 2022, ""population"": 35664}]",0.1432,15,8,11,Pulaski & Erie,13,0.15789473684210525,0.375,0.8747375787263821,0.014733333333333333,-0.035743254204293515,68,65,82,69,"{'investmentScore': 66, 'growthScore': 60, 'riskScore': 80, 'finalScore': 67}","{'investmentScore': 65, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'investmentScore': 65, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'1y': 50.0, '3y': 61.0, '5y': 72.0}","{'1y': 21.5, '3y': 22.90000000000009, '5y': 24.300000000000182}","{'1y': 34342.0, '3y': 31698.0, '5y': 29054.0}",35664,-0.0357,-0.1,28.0,0.153,0.186,0.205,0.159,31768,34378,15552,-0.0305,0.639,0.361,0.133,66,0.303,"3893 W Chicago Ave, CHICAGO, IL, 60624",69889,24461,45428,2026,58859,2009-03-01T00:00:00.000,17.25,2,2.5,2.66,2.5,6,2,7,2,4,0,0.19,2,0,0,1,4,0.44
35245,41.89385728946573,-87.72041320086409,HUMBOLDT PARK,60624,opportunity_site,0,RS-3,0.0556,4.0,31768,-0.0357,"[{""year"": 2022, ""crime_count"": 32, ""violent_crime_count"": 12}, {""year"": 2023, ""crime_count"": 46, ""violent_crime_count"": 22}, {""year"": 2024, ""crime_count"": 64, ""violent_crime_count"": 15}, {""year"": 2025, ""crime_count"": 65, ""violent_crime_count"": 13}]","[{""year"": 2022, ""permit_count"": 19}, {""year"": 2023, ""permit_count"": 28}, {""year"": 2024, ""permit_count"": 22}, {""year"": 2025, ""permit_count"": 27}]","[{""year"": 2021, ""population"": 36986}, {""year"": 2022, ""population"": 35664}]",0.1056,19,9,15,Chicago & Hamlin,15,0.015625,0.22727272727272727,0.9044862518089726,0.014733333333333333,-0.035743254204293515,68,63,72,71,"{'investmentScore': 67, 'growthScore': 61, 'riskScore': 88, 'finalScore': 65}","{'investmentScore': 66, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'investmentScore': 66, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'1y': 81.0, '3y': 104.40000000000146, '5y': 127.80000000000291}","{'1y': 28.5, '3y': 32.09999999999991, '5y': 35.69999999999982}","{'1y': 34342.0, '3y': 31698.0, '5y': 29054.0}",35664,-0.0357,-0.1,28.9,0.155,0.192,0.23,0.144,31768,32507,16253,-0.0351,0.59,0.41,0.132,57,0.284,"3749 W Chicago Ave, CHICAGO, IL, 60624",69889,24461,45428,2026,98410,2019-09-01T00:00:00.000,7.75,1,2.6,2.84,2.7,10,2,5,2,3,1,0.16,1,1,0,0,3,0.31
58725,41.867174702009,-87.73696513733313,NORTH LAWNDALE,60624,opportunity_site,0,M2-2,0.2857,-0.5,31768,-0.0357,"[{""year"": 2022, ""crime_count"": 18, ""violent_crime_count"": 5}, {""year"": 2023, ""crime_count"": 17, ""violent_crime_count"": 9}, {""year"": 2024, ""crime_count"": 25, ""violent_crime_count"": 10}, {""year"": 2025, ""crime_count"": 22, ""violent_crime_count"": 7}]","[{""year"": 2022, ""permit_count"": 11}, {""year"": 2023, ""permit_count"": 6}, {""year"": 2024, ""permit_count"": 5}, {""year"": 2025, ""permit_count"": 18}]","[{""year"": 2021, ""population"": 36986}, {""year"": 2022, ""population"": 35664}]",0.0774,9,3,2,Roosevelt & Kilbourn,16,-0.12,2.6,0.9281603861147207,0.014733333333333333,-0.035743254204293515,79,91,62,87,"{'investmentScore': 66, 'growthScore': 60, 'riskScore': 82, 'finalScore': 66}","{'investmentScore': 65, 'growthScore': 60, 'riskScore': 94, 'finalScore': 62}","{'investmentScore': 66, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'1y': 25.5, '3y': 29.5, '5y': 33.5}","{'1y': 15.0, '3y': 19.0, '5y': 23.0}","{'1y': 34342.0, '3y': 31698.0, '5y': 29054.0}",35664,-0.0357,-0.1,28.5,0.14,0.186,0.213,0.142,31768,31600,13111,0.0438,0.7,0.3,0.163,78,0.376,"4480 W Cermak Rd, CHICAGO, IL, 60624",69889,24461,45428,2026,106502,2022-10-01T00:00:00.000,4.83,1,2.2,2.27,1.5,8,1,5,1,3,1,0.14,1,1,0,0,3,0.31
62821,41.81635800969871,-87.62045281388649,GRAND BOULEVARD,60653,opportunity_site,0,B3-3,-0.4615,-0.1429,35136,-0.0045,"[{""year"": 2022, ""crime_count"": 37, ""violent_crime_count"": 12}, {""year"": 2023, ""crime_count"": 22, ""violent_crime_count"": 6}, {""year"": 2024, ""crime_count"": 29, ""violent_crime_count"": 11}, {""year"": 2025, ""crime_count"": 48, ""violent_crime_count"": 11}]","[{""year"": 2022, ""permit_count"": 27}, {""year"": 2023, ""permit_count"": 21}, {""year"": 2024, ""permit_count"": 18}, {""year"": 2025, ""permit_count"": 26}]","[{""year"": 2021, ""population"": 34519}, {""year"": 2022, ""population"": 34364}]",0.1685,7,1,6,43rd Street & King Drive,29,0.6551724137931034,0.4444444444444444,0.8557980316645271,0.0428,-0.004490280714968568,71,72,95,68,"{'investmentScore': 69, 'growthScore': 64, 'riskScore': 65, 'finalScore': 73}","{'investmentScore': 68, 'growthScore': 62, 'riskScore': 76, 'finalScore': 69}","{'investmentScore': 67, 'growthScore': 60, 'riskScore': 88, 'finalScore': 65}","{'1y': 44.0, '3y': 52.0, '5y': 60.0}","{'1y': 21.5, '3y': 20.299999999999955, '5y': 19.09999999999991}","{'1y': 34209.0, '3y': 33899.0, '5y': 33589.0}",34364,-0.0045,-0.0126,31.3,0.111,0.192,0.201,0.177,35136,37546,18369,0.0418,0.73,0.27,0.154,52,0.265,"345 E 51st St, CHICAGO, IL, 60653",77299,27054,50245,2026,80099,2010-03-01T00:00:00.000,16.25,3,2.7,2.71,1.8,6,1,5,0,3,1,0.12,1,1,0,0,3,0.31
36518,41.78970436565455,-87.66048889509541,WEST ENGLEWOOD,60636,opportunity_site,0,RS-3,0.5714,0.3333,30451,-0.019,"[{""year"": 2022, ""crime_count"": 33, ""violent_crime_count"": 15}, {""year"": 2023, ""crime_count"": 22, ""violent_crime_count"": 9}, {""year"": 2024, ""crime_count"": 29, ""violent_crime_count"": 13}, {""year"": 2025, ""crime_count"": 33, ""violent_crime_count"": 9}]","[{""year"": 2022, ""permit_count"": 14}, {""year"": 2023, ""permit_count"": 21}, {""year"": 2024, ""permit_count"": 13}, {""year"": 2025, ""permit_count"": 19}]","[{""year"": 2021, ""population"": 30412}, {""year"": 2022, ""population"": 29833}]",0.2021,11,4,12,Ashland & 57th Street,28,0.13793103448275862,0.46153846153846156,0.8318775476249897,0.003758333333333333,-0.019038537419439696,69,69,80,71,"{'investmentScore': 67, 'growthScore': 63, 'riskScore': 66, 'finalScore': 72}","{'investmentScore': 64, 'growthScore': 60, 'riskScore': 69, 'finalScore': 69}","{'investmentScore': 64, 'growthScore': 60, 'riskScore': 72, 'finalScore': 68}","{'1y': 31.0, '3y': 32.40000000000009, '5y': 33.80000000000018}","{'1y': 18.5, '3y': 19.90000000000009, '5y': 21.300000000000182}","{'1y': 29254.0, '3y': 28096.0, '5y': 26938.0}",29833,-0.019,-0.0532,29.9,0.123,0.162,0.184,0.186,30451,30686,13432,0.0025,0.559,0.441,0.189,76,0.348,"1203 W 63rd St, CHICAGO, IL, 60636",66992,23447,43545,2026,108856,2021-03-01T00:00:00.000,5.25,3,1.8,2.31,1.8,7,0,4,1,3,0,0.1,2,0,0,0,3,0.31
58818,41.89275197812359,-87.72023597773659,HUMBOLDT PARK,60624,opportunity_site,0,RS-3,0.0,3.3333,31768,-0.0357,"[{""year"": 2022, ""crime_count"": 32, ""violent_crime_count"": 13}, {""year"": 2023, ""crime_count"": 43, ""violent_crime_count"": 19}, {""year"": 2024, ""crime_count"": 63, ""violent_crime_count"": 13}, {""year"": 2025, ""crime_count"": 60, ""violent_crime_count"": 11}]","[{""year"": 2022, ""permit_count"": 18}, {""year"": 2023, ""permit_count"": 27}, {""year"": 2024, ""permit_count"": 16}, {""year"": 2025, ""permit_count"": 22}]","[{""year"": 2021, ""population"": 36986}, {""year"": 2022, ""population"": 35664}]",0.1822,17,7,13,Chicago & Hamlin,14,-0.047619047619047616,0.375,0.845880561664693,0.014733333333333333,-0.035743254204293515,68,65,67,73,"{'investmentScore': 66, 'growthScore': 60, 'riskScore': 89, 'finalScore': 64}","{'investmentScore': 64, 'growthScore': 60, 'riskScore': 95, 'finalScore': 61}","{'investmentScore': 64, 'growthScore': 60, 'riskScore': 95, 'finalScore': 61}","{'1y': 75.5, '3y': 96.29999999999927, '5y': 117.09999999999854}","{'1y': 21.0, '3y': 21.19999999999999, '5y': 21.399999999999977}","{'1y': 34342.0, '3y': 31698.0, '5y': 29054.0}",35664,-0.0357,-0.1,30.5,0.154,0.22,0.206,0.144,31768,30041,14984,0.0445,0.626,0.374,0.135,55,0.273,"3711 W Thomas St, CHICAGO, IL, 60624",69889,24461,45428,2026,126458,2012-11-01T00:00:00.000,14.92,3,2.9,2.59,2.6,5,1,8,2,4,1,0.2,1,1,0,1,4,0.44
16109,41.823586956634486,-87.60432230879749,OAKLAND,60653,opportunity_site,0,RM-5,-0.125,0.25,35136,-0.0045,"[{""year"": 2022, ""crime_count"": 16, ""violent_crime_count"": 7}, {""year"": 2023, ""crime_count"": 14, ""violent_crime_count"": 4}, {""year"": 2024, ""crime_count"": 25, ""violent_crime_count"": 6}, {""year"": 2025, ""crime_count"": 14, ""violent_crime_count"": 3}]","[{""year"": 2022, ""permit_count"": 11}, {""year"": 2023, ""permit_count"": 6}, {""year"": 2024, ""permit_count"": 17}, {""year"": 2025, ""permit_count"": 18}]","[{""year"": 2021, ""population"": 34519}, {""year"": 2022, ""population"": 34364}]",0.0374,7,1,5,Ellis & Oakwood,16,-0.44,0.058823529411764705,0.9639483323693849,0.0428,-0.004490280714968568,71,67,60,77,"{'investmentScore': 72, 'growthScore': 68, 'riskScore': 93, 'finalScore': 68}","{'investmentScore': 73, 'growthScore': 71, 'riskScore': 95, 'finalScore': 68}","{'investmentScore': 73, 'growthScore': 74, 'riskScore': 95, 'finalScore': 70}","{'1y': 18.5, '3y': 19.5, '5y': 20.5}","{'1y': 21.0, '3y': 27.399999999999636, '5y': 33.79999999999927}","{'1y': 34209.0, '3y': 33899.0, '5y': 33589.0}",34364,-0.0045,-0.0126,30.0,0.125,0.189,0.2,0.169,35136,36972,17169,0.006,0.708,0.292,0.169,66,0.323,"1040 E 39th St, CHICAGO, IL, 60653",77299,27054,50245,2026,111142,2019-05-01T00:00:00.000,7.42,3,2.0,2.35,2.1,11,0,3,1,3,1,0.1,2,1,0,1,3,0.44
50670,41.67587538651602,-87.63497051121821,WEST PULLMAN,60628,opportunity_site,3075,RS-3,0.0,1.0,48601,-0.0476,"[{""year"": 2022, ""crime_count"": 22, ""violent_crime_count"": 9}, {""year"": 2023, ""crime_count"": 17, ""violent_crime_count"": 5}, {""year"": 2024, ""crime_count"": 24, ""violent_crime_count"": 6}, {""year"": 2025, ""crime_count"": 20, ""violent_crime_count"": 6}]","[{""year"": 2022, ""permit_count"": 23}, {""year"": 2023, ""permit_count"": 17}, {""year"": 2024, ""permit_count"": 11}, {""year"": 2025, ""permit_count"": 16}]","[{""year"": 2021, ""population"": 64489}, {""year"": 2022, ""population"": 61419}]",0.1358,10,5,8,119th Street & Normal,13,-0.16666666666666666,0.45454545454545453,0.8804366966015145,0.15500833333333333,-0.04760501791003117,70,64,60,75,"{'investmentScore': 66, 'growthScore': 60, 'riskScore': 74, 'finalScore': 68}","{'investmentScore': 65, 'growthScore': 60, 'riskScore': 75, 'finalScore': 68}","{'investmentScore': 65, 'growthScore': 60, 'riskScore': 75, 'finalScore': 68}","{'1y': 21.0, '3y': 21.19999999999999, '5y': 21.399999999999977}","{'1y': 10.0, '3y': 4.600000000000364, '5y': -0.7999999999992724}","{'1y': 58349.0, '3y': 52209.0, '5y': 46069.0}",61419,-0.0476,-0.1333,36.8,0.097,0.132,0.258,0.257,48601,50837,17713,-0.0267,0.422,0.578,0.162,66,0.307,"11340 S Stewart Ave, CHICAGO, IL, 60628",135215,65119,70096,2026,181830,2008-02-01T00:00:00.000,18.17,3,2.4,2.5,1.9,6,0,3,0,2,0,0.06,2,0,0,1,2,0.31
19505,41.74483594473508,-87.6597997988371,AUBURN GRESHAM,60620,opportunity_site,0,RS-3,0.0,-0.25,46472,-0.0148,"[{""year"": 2022, ""crime_count"": 37, ""violent_crime_count"": 17}, {""year"": 2023, ""crime_count"": 35, ""violent_crime_count"": 14}, {""year"": 2024, ""crime_count"": 30, ""violent_crime_count"": 11}, {""year"": 2025, ""crime_count"": 30, ""violent_crime_count"": 12}]","[{""year"": 2022, ""permit_count"": 19}, {""year"": 2023, ""permit_count"": 21}, {""year"": 2024, ""permit_count"": 20}, {""year"": 2025, ""permit_count"": 21}]","[{""year"": 2021, ""population"": 69357}, {""year"": 2022, ""population"": 68330}]",0.2151,9,2,6,Ashland & 83rd Street,19,0.0,0.05,0.8229775327133568,0.13726666666666668,-0.014807445535418198,70,65,70,73,"{'investmentScore': 70, 'growthScore': 65, 'riskScore': 62, 'finalScore': 75}","{'investmentScore': 68, 'growthScore': 60, 'riskScore': 60, 'finalScore': 73}","{'investmentScore': 67, 'growthScore': 60, 'riskScore': 60, 'finalScore': 73}","{'1y': 26.5, '3y': 21.300000000000182, '5y': 16.100000000000364}","{'1y': 21.5, '3y': 22.5, '5y': 23.5}","{'1y': 67303.0, '3y': 65249.0, '5y': 63195.0}",68330,-0.0148,-0.0414,35.8,0.101,0.153,0.209,0.222,46472,50259,16097,0.0303,0.551,0.449,0.182,73,0.298,"7513 S Racine Ave, CHICAGO, IL, 60620",89989,23814,66175,2026,153622,2009-09-01T00:00:00.000,17.75,2,2.3,2.41,1.9,7,1,6,2,4,0,0.16,2,1,0,0,4,0.44
59403,41.8104306715045,-87.61482207300874,GRAND BOULEVARD,60653,opportunity_site,0,RM-5,-0.2857,0.0,35136,-0.0045,"[{""year"": 2022, ""crime_count"": 35, ""violent_crime_count"": 8}, {""year"": 2023, ""crime_count"": 31, ""violent_crime_count"": 9}, {""year"": 2024, ""crime_count"": 37, ""violent_crime_count"": 14}, {""year"": 2025, ""crime_count"": 64, ""violent_crime_count"": 14}]","[{""year"": 2022, ""permit_count"": 39}, {""year"": 2023, ""permit_count"": 19}, {""year"": 2024, ""permit_count"": 24}, {""year"": 2025, ""permit_count"": 25}]","[{""year"": 2021, ""population"": 34519}, {""year"": 2022, ""population"": 34364}]",0.0859,10,2,10,47th Street & Vincennes,27,0.7297297297297297,0.041666666666666664,0.9208951100469656,0.0428,-0.004490280714968568,70,67,95,66,"{'investmentScore': 69, 'growthScore': 63, 'riskScore': 72, 'finalScore': 71}","{'investmentScore': 67, 'growthScore': 60, 'riskScore': 92, 'finalScore': 64}","{'investmentScore': 66, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'1y': 65.0, '3y': 83.59999999999854, '5y': 102.19999999999709}","{'1y': 17.5, '3y': 10.100000000000364, '5y': 2.7000000000007276}","{'1y': 34209.0, '3y': 33899.0, '5y': 33589.0}",34364,-0.0045,-0.0126,31.7,0.132,0.209,0.221,0.202,35136,36152,20102,0.0074,0.727,0.273,0.145,62,0.306,"639 E 45th St, CHICAGO, IL, 60653",77299,27054,50245,2026,145831,2011-09-01T00:00:00.000,15.75,3,2.3,2.64,2.1,10,1,6,1,3,0,0.14,2,0,0,0,3,0.31
8771,41.89385822556417,-87.72028530282613,HUMBOLDT PARK,60624,opportunity_site,0,RT-4,0.0556,4.0,31768,-0.0357,"[{""year"": 2022, ""crime_count"": 33, ""violent_crime_count"": 12}, {""year"": 2023, ""crime_count"": 46, ""violent_crime_count"": 21}, {""year"": 2024, ""crime_count"": 65, ""violent_crime_count"": 16}, {""year"": 2025, ""crime_count"": 65, ""violent_crime_count"": 13}]","[{""year"": 2022, ""permit_count"": 18}, {""year"": 2023, ""permit_count"": 28}, {""year"": 2024, ""permit_count"": 21}, {""year"": 2025, ""permit_count"": 26}]","[{""year"": 2021, ""population"": 36986}, {""year"": 2022, ""population"": 35664}]",0.1074,19,9,15,Chicago & Hamlin,15,0.0,0.23809523809523808,0.9030160736861117,0.014733333333333333,-0.035743254204293515,68,63,70,71,"{'investmentScore': 67, 'growthScore': 61, 'riskScore': 88, 'finalScore': 65}","{'investmentScore': 66, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'investmentScore': 66, 'growthScore': 60, 'riskScore': 95, 'finalScore': 62}","{'1y': 81.0, '3y': 104.0, '5y': 127.0}","{'1y': 27.5, '3y': 30.90000000000009, '5y': 34.30000000000018}","{'1y': 34342.0, '3y': 31698.0, '5y': 29054.0}",35664,-0.0357,-0.1,28.2,0.153,0.201,0.203,0.15,31768,32366,15856,0.0267,0.575,0.425,0.141,55,0.28,"797 N Kedzie Ave, CHICAGO, IL, 60624",69889,24461,45428,2026,67265,2008-04-01T00:00:00.000,18.33,4,2.9,3.03,2.7,5,2,7,2,4,0,0.19,2,1,0,0,4,0.44
22900,41.7348607537722,-87.54481150691862,SOUTH CHICAGO,60617,opportunity_site,0,RT-3.5,-0.5714,-1.0,51203,-0.0119,"[{""year"": 2022, ""crime_count"": 15, ""violent_crime_count"": 6}, {""year"": 2023, ""crime_count"": 11, ""violent_crime_count"": 1}, {""year"": 2024, ""crime_count"": 15, ""violent_crime_count"": 6}, {""year"": 2025, ""crime_count"": 19, ""violent_crime_count"": 9}]","[{""year"": 2022, ""permit_count"": 8}, {""year"": 2023, ""permit_count"": 7}, {""year"": 2024, ""permit_count"": 7}, {""year"": 2025, ""permit_count"": 8}]","[{""year"": 2021, ""population"": 84193}, {""year"": 2022, ""population"": 83188}]",0.0674,3,1,0,Buffalo & 88th Street,13,0.26666666666666666,0.14285714285714285,0.9368559115608021,0.17669166666666666,-0.011936859358854062,73,67,89,69,"{'investmentScore': 72, 'growthScore': 64, 'riskScore': 70, 'finalScore': 73}","{'investmentScore': 70, 'growthScore': 60, 'riskScore': 82, 'finalScore': 68}","{'investmentScore': 68, 'growthScore': 60, 'riskScore': 94, 'finalScore': 63}","{'1y': 19.0, '3y': 22.199999999999818, '5y': 25.399999999999636}","{'1y': 7.5, '3y': 7.5, '5y': 7.5}","{'1y': 82183.0, '3y': 80173.0, '5y': 78163.0}",83188,-0.0119,-0.0333,32.0,0.137,0.186,0.203,0.204,51203,56957,14696,0.0415,0.558,0.442,0.181,79,0.306,"3508 E 91st St, CHICAGO, IL, 60617",185368,86648,98720,2026,190060,2010-03-01T00:00:00.000,16.25,2,2.0,2.15,1.9,7,1,3,0,2,1,0.09,2,1,0,1,2,0.38
23989,41.72654653465606,-87.62672288201742,ROSELAND,60620,opportunity_site,0,RS-2,-0.25,-0.6667,46472,-0.0148,"[{""year"": 2022, ""crime_count"": 11, ""violent_crime_count"": 6}, {""year"": 2023, ""crime_count"": 14, ""violent_crime_count"": 2}, {""year"": 2024, ""crime_count"": 21, ""violent_crime_count"": 6}, {""year"": 2025, ""crime_count"": 20, ""violent_crime_count"": 7}]","[{""year"": 2022, ""permit_count"": 6}, {""year"": 2023, ""permit_count"": 5}, {""year"": 2024, ""permit_count"": 12}, {""year"": 2025, ""permit_count"": 14}]","[{""year"": 2021, ""population"": 69357}, {""year"": 2022, ""population"": 68330}]",0.1052,6,3,1,Lafayette & 93rd Street,15,-0.047619047619047616,0.16666666666666666,0.9048136083966704,0.13726666666666668,-0.014807445535418198,72,66,67,75,"{'investmentScore': 72, 'growthScore': 67, 'riskScore': 88, 'finalScore': 69}","{'investmentScore': 72, 'growthScore': 66, 'riskScore': 95, 'finalScore': 67}","{'investmentScore': 72, 'growthScore': 69, 'riskScore': 95, 'finalScore': 68}","{'1y': 25.0, '3y': 31.800000000000182, '5y': 38.600000000000364}","{'1y': 17.0, '3y': 23.199999999999818, '5y': 29.399999999999636}","{'1y': 67303.0, '3y': 65249.0, '5y': 63195.0}",68330,-0.0148,-0.0414,36.8,0.113,0.125,0.243,0.274,46472,49118,16711,-0.0332,0.494,0.506,0.165,60,0.267,"166 E 107th St, CHICAGO, IL, 60620",127443,49891,77552,2026,182593,2008-01-01T00:00:00.000,18.08,1,3.0,2.7,2.3,6,1,6,1,6,0,0.17,2,1,0,0,6,0.56
22901,41.73479207976941,-87.5448098190493,SOUTH CHICAGO,60617,opportunity_site,0,RT-3.5,-0.5714,-1.0,51203,-0.0119,"[{""year"": 2022, ""crime_count"": 14, ""violent_crime_count"": 5}, {""year"": 2023, ""crime_count"": 10, ""violent_crime_count"": 1}, {""year"": 2024, ""crime_count"": 15, ""violent_crime_count"": 6}, {""year"": 2025, ""crime_count"": 19, ""violent_crime_count"": 9}]","[{""year"": 2022, ""permit_count"": 8}, {""year"": 2023, ""permit_count"": 7}, {""year"": 2024, ""permit_count"": 8}, {""year"": 2025, ""permit_count"": 8}]","[{""year"": 2021, ""population"": 84193}, {""year"": 2022, ""population"": 83188}]",0.072,3,1,0,Buffalo & 88th Street,14,0.26666666666666666,0.0,0.9328358208955223,0.17669166666666666,-0.011936859358854062,72,65,89,68,"{'investmentScore': 72, 'growthScore': 65, 'riskScore': 72, 'finalScore': 73}","{'investmentScore': 70, 'growthScore': 61, 'riskScore': 87, 'finalScore': 66}","{'investmentScore': 69, 'growthScore': 60, 'riskScore': 95, 'finalScore': 63}","{'1y': 19.5, '3y': 23.5, '5y': 27.5}","{'1y': 8.0, '3y': 8.199999999999989, '5y': 8.399999999999977}","{'1y': 82183.0, '3y': 80173.0, '5y': 78163.0}",83188,-0.0119,-0.0333,33.6,0.137,0.184,0.209,0.18,51203,48168,16018,-0.0125,0.545,0.455,0.147,78,0.322,"8089 S Houston Ave, CHICAGO, IL, 60617",185649,69057,116592,2026,132948,2007-08-01T00:00:00.000,19.67,4,2.3,1.96,1.5,8,1,6,0,3,0,0.12,1,1,0,0,3,0.31
